candId,TO,V,officeId
990,11.22%,694,436
991,34.66%,967,438
992,31.51%,879,438
993,33.84%,944,438
994,20.18%,898,439
995,18.81%,837,439
997,19.69%,876,439
998,19.94%,887,439
999,21.38%,951,439
1000,14.58%,773,440
1001,14.47%,767,440
1002,14.33%,760,440
1003,14.71%,780,440
1004,13.98%,741,440
1005,14.22%,754,440
1006,13.71%,727,440
1007,14.80%,910,441
1008,13.80%,848,441
1009,15.02%,923,441
1010,13.93%,856,441
1011,14.66%,901,441
1012,13.23%,813,441
1013,14.58%,896,441
1014,4.45%,456,135
1015,8.82%,517,86
1016,4.03%,1896,15
1017,1.30%,168,80
1018,1.51%,195,80
1019,7.51%,440,86
1020,5.91%,548,91
1021,4.77%,442,91
1022,2.92%,218,96
1023,0.75%,56,96
1024,2.51%,314,153
1025,2.65%,316,164
1026,3.27%,417,166
1027,1.87%,252,182
1028,2.36%,300,188
1029,5.58%,571,92
1030,4.03%,495,72
1031,1.47%,189,73
1032,0.57%,73,73
1033,5.70%,755,134
1034,1.48%,95,192
1035,3.35%,1574,15
1036,1.62%,180,191
1037,42.37%,4448,286
1038,48.72%,4061,112
1040,44.36%,4858,124
1041,49.66%,5438,124
1042,3.14%,344,124
1043,2.84%,311,124
1044,41.97%,4752,404
1045,58.03%,6570,404
1046,33.66%,111149,4
1048,37.24%,3413,186
1049,0.00%,42,1
1050,0.00%,12,1
1051,0.00%,19,1
1052,0.01%,147,1
1053,0.00%,57,1
1054,0.00%,5,1
1055,0.00%,13,1
1056,0.00%,12,1
1057,0.00%,44,1
1058,0.00%,3,1
1059,0.00%,31,1
1060,0.00%,6,1
1061,0.00%,23,1
1062,0.00%,41,1
1063,0.00%,4,1
1064,0.13%,2108,1
1065,0.00%,15,1
1066,0.00%,4,1
1067,0.00%,12,1
1068,0.00%,18,1
1069,0.00%,26,201
1070,0.00%,12,201
1071,0.00%,1,3
1072,0.00%,1,3
1073,0.00%,9,4
1074,0.00%,3,5
1075,0.01%,18,5
1076,0.00%,5,6
1077,0.00%,1,7
1078,0.00%,0,7
1079,0.01%,28,7
1080,0.00%,0,7
1081,0.00%,1,10
1082,0.00%,0,10
1083,0.00%,1,42
1084,0.03%,11,42
1085,0.00%,0,46
1086,0.03%,3,49
1087,0.75%,86,97
1088,0.25%,22,110
1089,0.00%,0,136
1090,100.00%,14,280
1091,79.25%,42,310
1092,20.75%,11,310
1093,0.64%,38,344
1094,0.15%,4,390
1095,5.10%,15753,7
1096,1.59%,4901,7
1099,4.73%,2522,20
1100,1.46%,778,20
